"filename", "language", "C++", "Python", "JSON", "Markdown", "XML", "Log", "C", "comment", "blank", "total"
"c:\Users\11146\OneDrive\ACM\Contest_Old\2021天梯赛\t3.cpp", "C++", 21, 0, 0, 0, 0, 0, 0, 0, 3, 24
"c:\Users\11146\OneDrive\ACM\Contest_Old\2021天梯赛\test.cpp", "C++", 16, 0, 0, 0, 0, 0, 0, 0, 3, 19
"c:\Users\11146\OneDrive\ACM\Contest_Old\NOIP\2020\D1T1排水系统.cpp", "C++", 93, 0, 0, 0, 0, 0, 0, 10, 6, 109
"c:\Users\11146\OneDrive\ACM\Contest_Old\PKU Campus 2021\I.cpp", "C++", 66, 0, 0, 0, 0, 0, 0, 6, 6, 78
"c:\Users\11146\OneDrive\ACM\Contest_Old\PKU Campus 2021\J.cpp", "C++", 45, 0, 0, 0, 0, 0, 0, 7, 5, 57
"c:\Users\11146\OneDrive\ACM\Contest_Old\PKU Campus 2021\Untitled-1.cpp", "C++", 12, 0, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\11146\OneDrive\ACM\Contest_Old\PKU Campus 2021\k.cpp", "C++", 109, 0, 0, 0, 0, 0, 0, 8, 2, 119
"c:\Users\11146\OneDrive\ACM\Contest_Old\第二届 “美团杯” 程序设计挑战赛\K. 杳瑶寺吴遥寺.cpp", "C++", 64, 0, 0, 0, 0, 0, 0, 10, 6, 80
"c:\Users\11146\OneDrive\ACM\Contest_Old\第二届 “美团杯” 程序设计挑战赛\M. 游泳.cpp", "C++", 71, 0, 0, 0, 0, 0, 0, 1, 5, 77
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\AcWing\1015. 摘花生.cpp", "C++", 28, 0, 0, 0, 0, 0, 0, 0, 4, 32
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\AcWing\1101. 献给阿尔吉侬的花束.cpp", "C++", 73, 0, 0, 0, 0, 0, 0, 0, 5, 78
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\AcWing\1113. 红与黑.cpp", "C++", 56, 0, 0, 0, 0, 0, 0, 1, 3, 60
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\AcWing\1227. 分巧克力.cpp", "C++", 34, 0, 0, 0, 0, 0, 0, 1, 3, 38
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\AcWing\126. 最大的和.cpp", "C++", 29, 0, 0, 0, 0, 0, 0, 7, 3, 39
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\AcWing\1341. 十三号星期五.cpp", "C++", 23, 0, 0, 0, 0, 0, 0, 0, 4, 27
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\AcWing\1346. 回文平方.cpp", "C++", 44, 0, 0, 0, 0, 0, 0, 12, 7, 63
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\AcWing\1353. 滑雪场设计.cpp", "C++", 27, 0, 0, 0, 0, 0, 0, 0, 3, 30
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\AcWing\1371. 货币系统.cpp", "C++", 17, 0, 0, 0, 0, 0, 0, 0, 4, 21
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\AcWing\1381. 阶乘.cpp", "C++", 19, 0, 0, 0, 0, 0, 0, 0, 2, 21
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\AcWing\1402. 星空之夜.cpp", "C++", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\AcWing\1432. 棋盘挑战.cpp", "C++", 42, 0, 0, 0, 0, 0, 0, 0, 4, 46
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\AcWing\1532. 找硬币.cpp", "C++", 34, 0, 0, 0, 0, 0, 0, 0, 4, 38
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\AcWing\1603. 整数集合划分.cpp", "C++", 20, 0, 0, 0, 0, 0, 0, 1, 2, 23
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\AcWing\282. 石子合并.cpp", "C++", 53, 0, 0, 0, 0, 0, 0, 3, 4, 60
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\AcWing\3195. 有趣的数.cpp", "C++", 48, 0, 0, 0, 0, 0, 0, 1, 4, 53
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\AcWing\3205. 最优配餐.cpp", "C++", 39, 0, 0, 0, 0, 0, 0, 1, 3, 43
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\AcWing\3208. Z字形扫描.cpp", "C++", 74, 0, 0, 0, 0, 0, 0, 0, 4, 78
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\AcWing\3215. 网络延时-rebuild.cpp", "C++", 81, 0, 0, 0, 0, 0, 0, 2, 5, 88
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\AcWing\3215. 网络延时.cpp", "C++", 76, 0, 0, 0, 0, 0, 0, 9, 5, 90
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\AcWing\3240. 压缩编码.cpp", "C++", 36, 0, 0, 0, 0, 0, 0, 1, 3, 40
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\AcWing\3250. 通信网络.cpp", "C++", 93, 0, 0, 0, 0, 0, 0, 7, 5, 105
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\AcWing\35. 反转链表.cpp", "C++", 41, 0, 0, 0, 0, 0, 0, 0, 2, 43
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\AcWing\425. 明明的随机数.cpp", "C++", 51, 0, 0, 0, 0, 0, 0, 1, 5, 57
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\AcWing\426. 开心的金明.cpp", "C++", 19, 0, 0, 0, 0, 0, 0, 3, 5, 27
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\AcWing\428. 数列.cpp", "C++", 27, 0, 0, 0, 0, 0, 0, 11, 2, 40
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\AcWing\429. 奖学金.cpp", "C++", 37, 0, 0, 0, 0, 0, 0, 0, 3, 40
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\AcWing\433. ISBN号码.cpp", "C++", 61, 0, 0, 0, 0, 0, 0, 1, 3, 65
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\AcWing\482. 合唱队形.cpp", "C++", 28, 0, 0, 0, 0, 0, 0, 0, 3, 31
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\AcWing\680. 剪绳子.cpp", "C++", 36, 0, 0, 0, 0, 0, 0, 2, 4, 42
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\AcWing\703. 数独检查.cpp", "C++", 63, 0, 0, 0, 0, 0, 0, 2, 4, 69
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\AcWing\730. 机器人跳跃问题.cpp", "C++", 70, 0, 0, 0, 0, 0, 0, 3, 5, 78
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\AcWing\754. 平方矩阵 II.cpp", "C++", 30, 0, 0, 0, 0, 0, 0, 0, 3, 33
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\AcWing\756. 蛇形矩阵.cpp", "C++", 26, 0, 0, 0, 0, 0, 0, 0, 3, 29
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\AcWing\89.a^b.cpp", "C++", 35, 0, 0, 0, 0, 0, 0, 0, 3, 38
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\AcWing\AcWing 1208. 翻硬币.cpp", "C++", 25, 0, 0, 0, 0, 0, 0, 0, 3, 28
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\AcWing\AcWing 417. 不高兴的津津.cpp", "C++", 38, 0, 0, 0, 0, 0, 0, 0, 3, 41
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\AcWing\AcWing 421. 陶陶摘苹果.cpp", "C++", 31, 0, 0, 0, 0, 0, 0, 0, 3, 34
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\Codeforces\CodeCraft-21 and Codeforces Round #711 (Div. 2)\A. GCD Sum.cpp", "C++", 50, 0, 0, 0, 0, 0, 0, 2, 6, 58
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\Codeforces\CodeCraft-21 and Codeforces Round #711 (Div. 2)\B. Box Fitting.cpp", "C++", 76, 0, 0, 0, 0, 0, 0, 3, 4, 83
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\Codeforces\CodeCraft-21 and Codeforces Round #711 (Div. 2)\C. Planar Reflection(REBUILD).cpp", "C++", 43, 0, 0, 0, 0, 0, 0, 11, 5, 59
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\Codeforces\CodeCraft-21 and Codeforces Round #711 (Div. 2)\C. Planar Reflections.cpp", "C++", 60, 0, 0, 0, 0, 0, 0, 6, 6, 72
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\Codeforces\Codeforces Global Round 13\A. K-th Largest Value.cpp", "C++", 60, 0, 0, 0, 0, 0, 0, 0, 4, 64
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\Codeforces\Codeforces Global Round 13\B. Minimal Cost.cpp", "C++", 52, 0, 0, 0, 0, 0, 0, 0, 5, 57
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\Codeforces\Codeforces Global Round 13\C. Pekora and Trampoline.cpp", "C++", 53, 0, 0, 0, 0, 0, 0, 8, 4, 65
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\Codeforces\Codeforces Global Round 13\D. Zookeeper and The Infinite Zoo.cpp", "C++", 71, 0, 0, 0, 0, 0, 0, 4, 3, 78
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\Codeforces\Codeforces Global Round 15\A. Subsequence Permutation.cpp", "C++", 55, 0, 0, 0, 0, 0, 0, 1, 4, 60
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\Codeforces\Codeforces Global Round 15\B. Running for Gold.cpp", "C++", 113, 0, 0, 0, 0, 0, 0, 4, 5, 122
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\Codeforces\Codeforces Global Round 15\C. Maximize the Intersections.cpp", "C++", 33, 0, 0, 0, 0, 0, 0, 1, 3, 37
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\Codeforces\Codeforces Round #698 (Div. 2)\A. Nezzar and Colorful Balls.cpp", "C++", 30, 0, 0, 0, 0, 0, 0, 0, 4, 34
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\Codeforces\Codeforces Round #698 (Div. 2)\B. Nezzar and Lucky Number.cpp", "C++", 43, 0, 0, 0, 0, 0, 0, 0, 5, 48
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\Codeforces\Codeforces Round #698 (Div. 2)\C. Nezzar and Symmetric Array.cpp", "C++", 62, 0, 0, 0, 0, 0, 0, 1, 3, 66
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\Codeforces\Codeforces Round #698 (Div. 2)\D. Nezzar and Board.cpp", "C++", 30, 0, 0, 0, 0, 0, 0, 0, 3, 33
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\Codeforces\Codeforces Round #699 (Div. 2)\A. Space Navigation.cpp", "C++", 63, 0, 0, 0, 0, 0, 0, 0, 4, 67
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\Codeforces\Codeforces Round #699 (Div. 2)\B. New Colony.cpp", "C++", 49, 0, 0, 0, 0, 0, 0, 0, 4, 53
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\Codeforces\Codeforces Round #699 (Div. 2)\C. Fence Painting.cpp", "C++", 106, 0, 0, 0, 0, 0, 0, 0, 6, 112
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\Codeforces\Codeforces Round #699 (Div. 2)\Untitled-1.cpp", "C++", 85, 0, 0, 0, 0, 0, 0, 6, 3, 94
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\Codeforces\Codeforces Round #700 (Div. 2)\A. Yet Another String Game.cpp", "C++", 46, 0, 0, 0, 0, 0, 0, 0, 5, 51
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\Codeforces\Codeforces Round #700 (Div. 2)\B. The Great Hero.cpp", "C++", 47, 0, 0, 0, 0, 0, 0, 0, 4, 51
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\Codeforces\Codeforces Round #700 (Div. 2)\C. Searching Local Minimum.cpp", "C++", 30, 0, 0, 0, 0, 0, 0, 0, 4, 34
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\Codeforces\Codeforces Round #700 (Div. 2)\D1. Painting the Array I.cpp", "C++", 57, 0, 0, 0, 0, 0, 0, 0, 3, 60
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\Codeforces\Codeforces Round #701 (Div. 2)\A. Add and Divide.cpp", "C++", 65, 0, 0, 0, 0, 0, 0, 0, 5, 70
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\Codeforces\Codeforces Round #701 (Div. 2)\B. Replace and Keep Sorted.cpp", "C++", 49, 0, 0, 0, 0, 0, 0, 3, 2, 54
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\Codeforces\Codeforces Round #701 (Div. 2)\C. Floor and Mod(rebuild).cpp", "C++", 42, 0, 0, 0, 0, 0, 0, 0, 2, 44
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\Codeforces\Codeforces Round #701 (Div. 2)\C. Floor and Mod.cpp", "C++", 36, 0, 0, 0, 0, 0, 0, 37, 9, 82
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\Codeforces\Codeforces Round #702 (Div. 3)\A. Dense Array.cpp", "C++", 44, 0, 0, 0, 0, 0, 0, 0, 4, 48
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\Codeforces\Codeforces Round #702 (Div. 3)\B. Balanced Remainders.cpp", "C++", 57, 0, 0, 0, 0, 0, 0, 0, 4, 61
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\Codeforces\Codeforces Round #702 (Div. 3)\C. Sum of Cubes.cpp", "C++", 45, 0, 0, 0, 0, 0, 0, 0, 2, 47
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\Codeforces\Codeforces Round #702 (Div. 3)\D. Permutation Transformation.cpp", "C++", 78, 0, 0, 0, 0, 0, 0, 1, 5, 84
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\Codeforces\Codeforces Round #702 (Div. 3)\E. Accidental Victory.cpp", "C++", 73, 0, 0, 0, 0, 0, 0, 4, 9, 86
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\Codeforces\Codeforces Round #702 (Div. 3)\F. Equalize the Array.cpp", "C++", 53, 0, 0, 0, 0, 0, 0, 2, 5, 60
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\Codeforces\Codeforces Round #703 (Div. 2)\A. Shifting Stacks.cpp", "C++", 50, 0, 0, 0, 0, 0, 0, 0, 3, 53
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\Codeforces\Codeforces Round #703 (Div. 2)\B. Eastern Exhibition.cpp", "C++", 53, 0, 0, 0, 0, 0, 0, 1, 5, 59
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\Codeforces\Codeforces Round #703 (Div. 2)\C1. Guessing the Greatest (easy version).cpp", "C++", 78, 0, 0, 0, 0, 0, 0, 0, 5, 83
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\Codeforces\Codeforces Round #713 (Div. 3)\A. Spy Detected!.cpp", "C++", 48, 0, 0, 0, 0, 0, 0, 0, 5, 53
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\Codeforces\Codeforces Round #713 (Div. 3)\B. Almost Rectangle.cpp", "C++", 116, 0, 0, 0, 0, 0, 0, 0, 5, 121
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\Codeforces\Codeforces Round #713 (Div. 3)\C. A-B Palindrome.cpp", "C++", 120, 0, 0, 0, 0, 0, 0, 8, 6, 134
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\Codeforces\Codeforces Round #713 (Div. 3)\D. Corrupted Array.cpp", "C++", 109, 0, 0, 0, 0, 0, 0, 13, 5, 127
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\Codeforces\Codeforces Round #732 (Div. 2)\A. AquaMoon and Two Arrays.cpp", "C++", 85, 0, 0, 0, 0, 0, 0, 3, 7, 95
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\Codeforces\Codeforces Round #732 (Div. 2)\B. AquaMoon and Stolen String.cpp", "C++", 57, 0, 0, 0, 0, 0, 0, 3, 5, 65
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\Codeforces\Codeforces Round #732 (Div. 2)\C. AquaMoon and Strange Sort.cpp", "C++", 67, 0, 0, 0, 0, 0, 0, 1, 5, 73
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\Codeforces\Codeforces Round #732 (Div. 2)\Codeforces Round #733 (Div. 1 + Div. 2, based on VK Cup 2021 - Elimination (Engine))\A. Binary Decimal.cpp", "C++", 45, 0, 0, 0, 0, 0, 0, 1, 4, 50
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\Codeforces\Codeforces Round #732 (Div. 2)\Codeforces Round #733 (Div. 1 + Div. 2, based on VK Cup 2021 - Elimination (Engine))\B. Putting Plates.cpp", "C++", 83, 0, 0, 0, 0, 0, 0, 1, 6, 90
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\Codeforces\Codeforces Round #732 (Div. 2)\Codeforces Round #733 (Div. 1 + Div. 2, based on VK Cup 2021 - Elimination (Engine))\C. Pursuit.cpp", "C++", 70, 0, 0, 0, 0, 0, 0, 4, 5, 79
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\Codeforces\Codeforces Round #732 (Div. 2)\Codeforces Round #733 (Div. 1 + Div. 2, based on VK Cup 2021 - Elimination (Engine))\D. Secret Santa.cpp", "C++", 82, 0, 0, 0, 0, 0, 0, 6, 4, 92
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\Codeforces\Codeforces Round #732 (Div. 2)\D. AquaMoon and Chess.cpp", "C++", 82, 0, 0, 0, 0, 0, 0, 1, 8, 91
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\Codeforces\Codeforces Round #734 (Div. 3)\A. Polycarp and Coins.cpp", "C++", 48, 0, 0, 0, 0, 0, 0, 1, 5, 54
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\Codeforces\Codeforces Round #734 (Div. 3)\B1. Wonderful Coloring - 1.cpp", "C++", 57, 0, 0, 0, 0, 0, 0, 1, 5, 63
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\Codeforces\Codeforces Round #734 (Div. 3)\B2. Wonderful Coloring - 2.cpp", "C++", 96, 0, 0, 0, 0, 0, 0, 7, 6, 109
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\Codeforces\Codeforces Round #734 (Div. 3)\C. Interesting Story.cpp", "C++", 121, 0, 0, 0, 0, 0, 0, 3, 5, 129
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\Codeforces\Codeforces Round #734 (Div. 3)\D1. Domino (easy version).cpp", "C++", 62, 0, 0, 0, 0, 0, 0, 1, 5, 68
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\Codeforces\Codeforces Round #735 (Div. 2)\B. Cobb.cpp", "C++", 79, 0, 0, 0, 0, 0, 0, 2, 3, 84
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\Codeforces\Codeforces Round #735 (Div. 2)\C. Mikasa.cpp", "C++", 36, 0, 0, 0, 0, 0, 0, 1, 3, 40
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\Codeforces\Educational Codeforces Round 103 (Rated for Div. 2)\A. K-divisible Sum.cpp", "C++", 29, 0, 0, 0, 0, 0, 0, 0, 3, 32
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\Codeforces\Educational Codeforces Round 103 (Rated for Div. 2)\B. Inflation.cpp", "C++", 36, 0, 0, 0, 0, 0, 0, 3, 4, 43
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\Codeforces\Educational Codeforces Round 104 (Rated for Div. 2)\A. Arena.cpp", "C++", 42, 0, 0, 0, 0, 0, 0, 0, 4, 46
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\Codeforces\Educational Codeforces Round 104 (Rated for Div. 2)\B. Cat Cycle.cpp", "C++", 69, 0, 0, 0, 0, 0, 0, 5, 5, 79
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\Codeforces\Educational Codeforces Round 104 (Rated for Div. 2)\C. Minimum Ties.cpp", "C++", 76, 0, 0, 0, 0, 0, 0, 5, 9, 90
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\Codeforces\Educational Codeforces Round 104 (Rated for Div. 2)\D. Pythagorean Triples.cpp", "C++", 34, 0, 0, 0, 0, 0, 0, 16, 6, 56
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\Codeforces\Educational Codeforces Round 104 (Rated for Div. 2)\E. Cheap Dinner.cpp", "C++", 96, 0, 0, 0, 0, 0, 0, 0, 4, 100
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\Codeforces\Educational Codeforces Round 111 (Rated for Div. 2)\A. Find The Array.cpp", "C++", 48, 0, 0, 0, 0, 0, 0, 1, 4, 53
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\Codeforces\Educational Codeforces Round 111 (Rated for Div. 2)\B. Maximum Cost Deletion.cpp", "C++", 59, 0, 0, 0, 0, 0, 0, 2, 5, 66
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\Codeforces\Educational Codeforces Round 111 (Rated for Div. 2)\C. Manhattan Subarrays.cpp", "C++", 74, 0, 0, 0, 0, 0, 0, 3, 6, 83
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\Codeforces\Harbour.Space Scholarship Contest 2021-2022 (open for everyone, rated, Div. 1 + Div. 2)\A. Digits Sum.cpp", "C++", 47, 0, 0, 0, 0, 0, 0, 1, 5, 53
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\Codeforces\Harbour.Space Scholarship Contest 2021-2022 (open for everyone, rated, Div. 1 + Div. 2)\B. Reverse String.cpp", "C++", 63, 0, 0, 0, 0, 0, 0, 3, 4, 70
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\Codeforces\Harbour.Space Scholarship Contest 2021-2022 (open for everyone, rated, Div. 1 + Div. 2)\C. Penalty.cpp", "C++", 92, 0, 0, 0, 0, 0, 0, 1, 6, 99
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\Codeforces\Harbour.Space Scholarship Contest 2021-2022 (open for everyone, rated, Div. 1 + Div. 2)\D. Backspace-rebuild.cpp", "C++", 64, 0, 0, 0, 0, 0, 0, 1, 5, 70
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\Codeforces\Harbour.Space Scholarship Contest 2021-2022 (open for everyone, rated, Div. 1 + Div. 2)\D. Backspace.cpp", "C++", 92, 0, 0, 0, 0, 0, 0, 56, 6, 154
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\Codeforces\Harbour.Space Scholarship Contest 2021-2022 (open for everyone, rated, Div. 1 + Div. 2)\E. Permutation Shift.cpp", "C++", 94, 0, 0, 0, 0, 0, 0, 1, 8, 103
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\Codeforces\The 2020 ICPC Asia Taipei-Hsinchu Site Programming Contest\B. Make Numbers.cpp", "C++", 181, 0, 0, 0, 0, 0, 0, 6, 7, 194
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\Codeforces\Unknown\A. Subtract or Divide.cpp", "C++", 86, 0, 0, 0, 0, 0, 0, 0, 3, 89
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\Codeforces\Unknown\B. Non-Substring Subsequence.cpp", "C++", 56, 0, 0, 0, 0, 0, 0, 0, 4, 60
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\Codeforces\Unknown\C. Mind Control.cpp", "C++", 26, 0, 0, 0, 0, 0, 0, 0, 3, 29
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\Codeforces\Unknown\C. String Equality.cpp", "C++", 51, 0, 0, 0, 0, 0, 0, 0, 5, 56
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\Codeforces\Unknown\D. Recommendations.cpp", "C++", 79, 0, 0, 0, 0, 0, 0, 6, 5, 90
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\Codeforces\Unknown\E. 群体狂乱.cpp", "C++", 117, 0, 0, 0, 0, 0, 0, 23, 9, 149
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\Codeforces\Unknown\G. Short Task.cpp", "C++", 51, 0, 0, 0, 0, 0, 0, 0, 3, 54
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\Luogu\1358：中缀表达式值(expr).cpp", "C++", 200, 0, 0, 0, 0, 0, 0, 11, 8, 219
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\Luogu\41429\T170824 Erinnerung.cpp", "C++", 56, 0, 0, 0, 0, 0, 0, 3, 6, 65
"c:\Users\11146\OneDrive\ACM\OpenjudgeNow\Luogu\O - 分数调查.cpp", "C++", 24, 0, 0, 0, 0, 0, 0, 0, 3, 27
